#,_id,last_scraped_date,symbol,valid
360,6735ea30285bedc0955a4bdf,11/14/2024,UNI,true
361,6735ea30285bedc0955a4be0,,UNIPO2,false
362,6735ea30285bedc0955a4be1,,UNIPO3,false
363,6735ea30285bedc0955a4be2,11/14/2024,USJE,true
364,6735ea30285bedc0955a4be3,11/14/2024,VARG,true
365,6735ea30285bedc0955a4be4,11/14/2024,VFPM,true
366,6735ea30285bedc0955a4be5,11/14/2024,VITA,true
367,6735ea30285bedc0955a4be6,11/14/2024,VROS,true
368,6735ea30285bedc0955a4be7,11/14/2024,VSC,true
369,6735ea30285bedc0955a4be8,11/14/2024,VTKS,true
370,6735ea30285bedc0955a4be9,,Z051025,false
371,6735ea30285bedc0955a4bea,11/14/2024,ZAS,true
372,6735ea30285bedc0955a4beb,11/14/2024,ZILU,true
373,6735ea30285bedc0955a4bec,11/14/2024,ZILUP,true
374,6735ea30285bedc0955a4bed,11/14/2024,ZIMS,true
375,6735ea30285bedc0955a4bee,11/14/2024,ZKAR,true
376,6735ea30285bedc0955a4bef,11/14/2024,ZPKO,true
377,6735ea30285bedc0955a4bf0,11/14/2024,ZPOG,true
378,6735ea30285bedc0955a4bf1,11/14/2024,ZUAS,true
379,6735ea30285bedc0955a4bf2,,М101039,false
380,6735ea30285bedc0955a4bf3,,М190927,false
381,6735ea30285bedc0955a4bf4,,М190939,false
